model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
XGBoost,conditional,common,global,12,341,341,341,311,1.0,13.684374310770986,22.443022224787047,33.25514909410933,0.2953803727547041,0.311853224614021,0.38104526851499004,-2.211710103263426,-0.0477402722178599,311.0,direct,1,development
XGBoost,conditional,common,mean_fold,12,341,341,341,311,1.0,13.492505511513244,18.14801024217186,33.33869170719066,0.286097432849814,0.3104476295514006,0.37457548183636064,-2.0983971106578783,-0.019200647233483175,25.916666666666668,direct,1,development
LightGBM,conditional,common,global,12,341,341,341,311,1.0,13.57205611486527,22.140745712471936,32.957175644947434,0.2929559586148736,0.3013482921963246,0.36017279345934833,-0.8338857042061171,-0.01799961507552071,311.0,direct,1,development
LightGBM,conditional,common,mean_fold,12,341,341,341,311,1.0,13.44635875481289,17.616065724558396,32.95716241039516,0.2831454979993782,0.30039322251277917,0.3551127951901905,-0.8739380228300749,-0.002215109097039402,25.916666666666668,direct,1,development
DynamicRidge,conditional,common,global,12,341,341,341,311,1.0,21.465245682326927,64.6662527748516,53.62595802190544,0.4633322742367903,0.3488047333272167,0.47074589855223153,11.24127271474366,0.2426454618465629,311.0,direct,1,development
DynamicRidge,conditional,common,mean_fold,12,341,341,341,311,1.0,21.024359050949695,36.72438465569726,51.41744218450298,0.40594961233305416,0.3428171456549695,0.4429830997934263,10.984339520112606,0.18207496859457742,25.916666666666668,direct,1,development
SeasonalNaive,conditional,common,global,12,341,341,341,311,1.0,25.308681672025724,40.59164534760476,121.03817144687605,0.54629372570794,0.5268184551266696,0.7323201475944688,5.070739549839228,0.10945308162132149,311.0,direct,1,development
SeasonalNaive,conditional,common,mean_fold,12,341,341,341,311,1.0,24.43519216149964,32.9952936818819,112.55691374615286,0.6134975720469067,0.520265429766274,0.6616830826503498,4.139835369504909,0.25324447543422673,25.916666666666668,direct,1,development
MovingAvg28,conditional,common,global,12,341,341,341,311,1.0,22.204256622263053,35.4988706144911,81.38670747566472,0.47928399566378466,0.46882816130261135,0.625036950638925,1.7585191990336682,0.03795804212239525,311.0,direct,1,development
MovingAvg28,conditional,common,mean_fold,12,341,341,341,311,1.0,21.501448242070676,27.210526300823286,77.18796128071523,0.5120934253592433,0.4621421738035993,0.5677775035636196,1.0471211116786172,0.19786198183471473,25.916666666666668,direct,1,development
NeuralNet,conditional,model_specific,global,12,341,341,311,311,0.9120234604105572,10.925129039494553,16.17680115474895,34.6856735204715,0.2358214277681015,0.28084915793004,0.3530577267362528,2.027552057309166,0.043765178360851656,311.0,direct,1,development
NeuralNet,conditional,model_specific,mean_fold,12,341,341,311,311,0.9120234604105572,10.829044082588576,14.03765316614426,34.577868237409426,0.2460234481791116,0.28034368781282093,0.34675397016740384,2.045031179376837,0.07510516517212006,25.916666666666668,direct,1,development
XGBoost,conditional,model_specific,global,12,341,341,341,341,1.0,14.308142621321412,23.293409064302804,68.00295409289095,0.316802586447023,0.333465809938747,0.49288485432909646,-0.268947605338614,-0.00595488172329507,341.0,direct,1,development
XGBoost,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,14.228557730305022,19.255197825892797,69.81335438780913,0.309731231798576,0.33455584252589793,0.4663233601721972,-0.3221309147159502,0.02501453408891216,28.416666666666668,direct,1,development
